,participant.id,tasktype,reaction_time(s),accuracy
258,3251051,catch,1.99,1
259,3251067,CONJUNCTION,15.59,0
260,3251067,CRT,16.49,0.5
261,3251067,GAMBLER,11.88,1
262,3251067,SAMPLE_SIZE,11.77,0
263,3251067,catch,1.85,1
264,3251074,CONJUNCTION,12.7,0.6667
265,3251074,CRT,10.25,1
266,3251074,GAMBLER,6.36,1
267,3251074,SAMPLE_SIZE,8.19,0
268,3251074,catch,1.37,1
269,3251084,CONJUNCTION,16.54,0
270,3251084,CRT,12.35,0
271,3251084,GAMBLER,10.16,1
272,3251084,catch,1.73,1
273,3251092,CONJUNCTION,13.66,0.6667
274,3251092,CRT,18.94,1
275,3251092,GAMBLER,5.76,1
276,3251092,SAMPLE_SIZE,20.33,1
277,3251092,catch,1.36,1
278,3251095,CONJUNCTION,20.62,1
279,3251095,CRT,18.95,1
280,3251095,GAMBLER,14.15,1
281,3251095,SAMPLE_SIZE,22.86,0
282,3251095,catch,1.86,1
283,3251100,CONJUNCTION,14.2,0.6667
284,3251100,CRT,18.25,1
285,3251100,GAMBLER,12.63,1
286,3251100,SAMPLE_SIZE,28.82,0
287,3251100,catch,3.25,1
288,3251110,CONJUNCTION,11.68,0.3333
289,3251110,CRT,10.67,0.3333
290,3251110,GAMBLER,7.13,1
291,3251110,SAMPLE_SIZE,9.12,0
292,3251110,catch,1.46,1
293,3251112,CONJUNCTION,19.93,0
294,3251112,CRT,11.73,0.3333
295,3251112,GAMBLER,10.32,1
296,3251112,SAMPLE_SIZE,14.01,0
297,3251112,catch,2.17,1
298,3251117,CONJUNCTION,11.11,0.3333
299,3251117,CRT,11.81,1
300,3251117,GAMBLER,5.7,1
301,3251117,SAMPLE_SIZE,6.71,0
302,3251117,catch,1.68,1
303,3251123,CONJUNCTION,17.63,0.6667
304,3251123,CRT,12.21,0.3333
305,3251123,GAMBLER,10.78,1
306,3251123,SAMPLE_SIZE,20.28,0
307,3251123,catch,1.95,1
308,3251125,CONJUNCTION,8.17,0
309,3251125,CRT,15.34,0
310,3251125,GAMBLER,7.22,1
311,3251125,SAMPLE_SIZE,11.72,1
312,3251125,catch,1.94,1
313,3251130,CONJUNCTION,11.14,0.6667
314,3251130,CRT,22.82,0.6667
315,3251130,GAMBLER,6.19,1
316,3251130,SAMPLE_SIZE,5.53,0
317,3251130,catch,1.44,1
318,3251135,CONJUNCTION,6,0
319,3251135,CRT,7.08,0
320,3251135,GAMBLER,8.78,0.5
321,3251135,SAMPLE_SIZE,12.03,0
322,3251135,catch,1.4,1
323,3251139,CONJUNCTION,10.33,0.3333
324,3251139,CRT,5.36,0
325,3251139,GAMBLER,5.69,1
326,3251139,SAMPLE_SIZE,11.07,0
327,3251139,catch,1.62,1
328,3251150,CONJUNCTION,16.95,0.3333
329,3251150,CRT,11.14,1
330,3251150,GAMBLER,9.43,1
331,3251150,SAMPLE_SIZE,15.78,0
332,3251150,catch,1.7,1
333,3251156,CONJUNCTION,12.46,0
334,3251156,CRT,8.76,0
335,3251156,GAMBLER,9.03,1
336,3251156,SAMPLE_SIZE,16.47,0
337,3251156,catch,2.68,1
338,3251160,CONJUNCTION,13.86,1
339,3251160,CRT,12.33,1
340,3251160,GAMBLER,8.07,1
341,3251160,SAMPLE_SIZE,16.93,0
342,3251160,catch,1.56,1
343,3251170,CONJUNCTION,9.16,0.3333
344,3251170,CRT,7.9,0
345,3251170,GAMBLER,10.93,1
346,3251170,SAMPLE_SIZE,14.47,0
347,3251170,catch,2.34,1
348,3251171,CONJUNCTION,22.44,0.3333
349,3251171,CRT,22.23,0.6667
350,3251171,GAMBLER,17.1,1
351,3251171,SAMPLE_SIZE,21.07,0
352,3251171,catch,1.77,1
353,3251176,CONJUNCTION,15.41,0
354,3251176,CRT,17.42,1
355,3251176,GAMBLER,12.25,1
356,3251176,SAMPLE_SIZE,10.52,0
357,3251176,catch,3,1
358,3251179,CONJUNCTION,25.29,0
359,3251179,CRT,16.88,0
360,3251179,GAMBLER,24.75,0
361,3251179,SAMPLE_SIZE,32.29,0
362,3251179,catch,2.71,1
363,3251186,CONJUNCTION,15.47,0
364,3251186,CRT,18.66,0.3333
365,3251186,GAMBLER,13.71,0
366,3251186,SAMPLE_SIZE,15.65,0
367,3251186,catch,2.53,1
368,3251202,CONJUNCTION,10.95,0
369,3251202,CRT,16.87,1
370,3251202,GAMBLER,18.4,1
371,3251202,SAMPLE_SIZE,11.2,0
372,3251202,catch,1.81,1
373,3251208,CONJUNCTION,13.34,0
374,3251208,CRT,14.56,0.3333
375,3251208,GAMBLER,6.54,0
376,3251208,SAMPLE_SIZE,31.18,0
377,3251208,catch,2.81,1
378,3251210,CONJUNCTION,18.79,0.3333
379,3251210,CRT,12.06,0.3333
380,3251210,GAMBLER,11.3,0.5
381,3251210,SAMPLE_SIZE,10.24,0
382,3251210,catch,1.94,1
383,3251219,CONJUNCTION,10.55,0.3333
384,3251219,CRT,16.45,0.6667
385,3251219,GAMBLER,10.85,1
386,3251219,SAMPLE_SIZE,9.86,0
387,3251219,catch,2.78,1
388,3251223,CONJUNCTION,22.42,1
389,3251223,CRT,10.48,1
390,3251223,GAMBLER,7.74,1
391,3251223,SAMPLE_SIZE,13.2,0
392,3251223,catch,1.75,1
393,3251225,CONJUNCTION,14.88,0.3333
394,3251225,CRT,18.25,0
395,3251225,GAMBLER,13.2,0.5
396,3251225,SAMPLE_SIZE,16.33,0
397,3251225,catch,1.85,1
398,3251232,CONJUNCTION,8.63,0
399,3251232,CRT,20.43,0.6667
400,3251232,GAMBLER,6.3,1
401,3251232,SAMPLE_SIZE,17.41,0
402,3251232,catch,1.79,1
403,3251235,CONJUNCTION,32.47,0.5
404,3251235,CRT,25.51,0
405,3251235,GAMBLER,14.96,1
406,3251235,SAMPLE_SIZE,31.71,0
407,3251235,catch,3.39,1
408,3251242,CONJUNCTION,13.19,0
409,3251242,CRT,10.08,0.6667
410,3251242,GAMBLER,14.76,0
411,3251242,SAMPLE_SIZE,12.75,0
412,3251242,catch,2.11,1
413,3251246,CONJUNCTION,16.42,0
414,3251246,CRT,21.49,0
415,3251246,GAMBLER,12.08,0.5
416,3251246,SAMPLE_SIZE,28.12,0
417,3251246,catch,3.7,1
418,3251247,CONJUNCTION,19.53,0.3333
419,3251247,CRT,20,0.6667
420,3251247,GAMBLER,12.18,1
421,3251247,SAMPLE_SIZE,14.59,0
422,3251247,catch,2.33,1
423,3251250,CONJUNCTION,9.62,1
424,3251250,CRT,16.85,1
425,3251250,GAMBLER,5.78,1
426,3251250,SAMPLE_SIZE,7.16,0
427,3251250,catch,1.2,1
428,3251262,CONJUNCTION,8.1,0
429,3251262,CRT,7.06,0.3333
430,3251262,GAMBLER,6.5,1
431,3251262,SAMPLE_SIZE,5.81,0
432,3251262,catch,1.64,1
433,3251265,CONJUNCTION,22.07,0.6667
434,3251265,CRT,19.91,1
435,3251265,GAMBLER,12.71,1
436,3251265,SAMPLE_SIZE,12.49,1
437,3251265,catch,1.85,1
438,3251271,CONJUNCTION,18.48,0.3333
439,3251271,CRT,10.58,0.3333
440,3251271,GAMBLER,11.52,1
441,3251271,SAMPLE_SIZE,14.17,0
442,3251271,catch,1.82,1
443,3251278,CONJUNCTION,14.47,0.3333
444,3251278,CRT,10.99,1
445,3251278,GAMBLER,13.43,0.5
446,3251278,SAMPLE_SIZE,10.65,0
447,3251278,catch,1.66,1
448,3251284,CONJUNCTION,13.45,0.3333
449,3251284,CRT,7.02,0.6667
450,3251284,GAMBLER,6.62,1
451,3251284,SAMPLE_SIZE,8.4,0
452,3251284,catch,1.82,1
453,3251303,CONJUNCTION,9.05,1
454,3251303,CRT,7.35,1
455,3251303,GAMBLER,6.55,1
456,3251303,catch,1.36,1
457,3251319,CONJUNCTION,20.91,1
458,3251319,CRT,13.57,1
459,3251319,GAMBLER,11.78,1
460,3251319,SAMPLE_SIZE,18.68,0
461,3251319,catch,1.93,1
462,3251376,CONJUNCTION,7.25,0
463,3251376,CRT,4.75,1
464,3251376,GAMBLER,5.67,1
465,3251376,SAMPLE_SIZE,12.31,1
466,3251376,catch,1.46,1
